facdomain, facdomain_desc, facdomain_color, facdomain_icon,facdomain_order, facgroup, facgroup_desc,facgroup_order, facsubgrp, facsubgrp_desc,facsubgrp_order
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Camps,Camps overseen by NYC Dept. of Mental Health and Hygiene,,Camps,Preschool age and all age camps,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Child Care and Pre-Kindergarten,Childcare centers overseen by NYC Administration for Childrens Services and NYC Dept. of Mental Health and Hygiene,,Child Care,"Group and school-based child care centers for infants, toddlers, and preschoolers",
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Child Care and Pre-Kindergarten,Childcare centers overseen by NYC Administration for Childrens Services and NYC Dept. of Mental Health and Hygiene,,DOE Universal Pre-Kindergarten,NYC DOE designated Universal Pre-K center,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Child Care and Pre-Kindergarten,Childcare centers overseen by NYC Administration for Childrens Services and NYC Dept. of Mental Health and Hygiene,,Dual Child Care and Universal Pre-K,Center that offers both a NYC DOE desgiated Universal Pre-K services and other child care services,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Child Care and Pre-Kindergarten,Childcare centers overseen by NYC Administration for Childrens Services and NYC Dept. of Mental Health and Hygiene,,Preschools for Students with Disabilities,Center specialized on preschool students with disabilities,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Child Welfare,Child feeding centers tracked by New York State Education Department,,Child Nutrition,Summer and year-round child feeding sites,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Child Welfare,Child feeding centers tracked by New York State Education Department,,School-Based Food Services,Feed services located at schools,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Childrens Services,"Services overseen by NYC Health and Human Services and NYC Administration for Children\s Services""",,Foster Care Services and Residential Care,Foster care services and juvenile non-secure placement,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Childrens Services,"Services overseen by NYC Health and Human Services and NYC Administration for Children\s Services""",,"Preventative Care, Evaluation Services, and Respite",Preventative care and intervention services,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Higher Education,Public and privately operated 2 and 4 year colleges and universities,,Colleges or Universities,Public and privately operated 2 and 4 year colleges and universities,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Schools (K-12),"Preschools, K-12 schools, and higher education overseen by NYC Dept. of Education and NYS Education Department",,Non-public Schools,"Private elementary, middle, and high schools",
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Schools (K-12),"Preschools, K-12 schools, and higher education overseen by NYC Dept. of Education and NYS Education Department",,Other Schools Serving Students with Disabilities,Specialized schools and educational services for students with disabilities,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Schools (K-12),"Preschools, K-12 schools, and higher education overseen by NYC Dept. of Education and NYS Education Department",,Public Schools,"Public and charter elementary, middle, and high schools",
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Vocational and Proprietary Schools,ESL schools and trade colleges,,Proprietary Schools,ESL schools and trade colleges,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Youth Services,Services overseen by NYC Dept. of Youth and Community Development,,Comprehensive After School System (COMPASS) Sites,Comprehensive After School System (COMPASS) Sites,
"Education, Child Welfare, and Youth","Providers of children and youth services and all schools, including higher education facilities",#f7ca00,graduation-cap,1,Youth Services,Services overseen by NYC Dept. of Youth and Community Development,,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services","Youth Centers, Literacy Programs, Job Training, and Immigrant Services",
