using_01,pgtable,datasource,datasourcefull,dataname,confidence,notes,uniqueid,datatype,refreshmeans,refreshfrequency,datadate,dataurl,datadownload,overtype,docsnotes
1,amtrak_facilities_sfpsd,Amtrak,Amtrak,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,bbpc_facilities_sfpsd,BBPC,Brooklyn Bridge Park Corporation,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often. No polygons,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,fbop_facilities_corrections,FBOP,Federal Bureau of Prisons,Our Locations,5,Unlikely to change very often,N,Addresses and Details Copied from Website,Confirm on agency's website,Annually,2016-07-01,https://www.bop.gov/locations/map.jsp#,,Owned and operated,
1,foodbankny_facilities_foodbanks,FBNYC,Food Bank of NYC,FBNYC Food Pantry Soup Kitchen List 8-5-16,4,Not sure how frequenty it's updated. Might be able to scrape website instead,N,CSV with Coordinates,Request file from agency,Quarterly,2016-08-05,,,Dsitributed,
1,hrpt_facilities_sfpsd,HRPT,Hudson River Park Trust,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often. No polygons,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,mta_facilities_sfpsd,MTA,Metropolitan Transportation Authority,Selected Facilities and Program Sites Database,4.5,Unlikely to change very often,N,Shapefile,Confirm with agency,Annually,3/1/15,http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,http://www1.nyc.gov/assets/planning/download/zip/data-maps/open-data/nyc_facilities2015_shp.zip,Owned and operated,
1,acs_facilities_daycareheadstart,NYCACS,NYC Administration for Childrens Services,Contractor Data,4,Not public. Missing details on City Council funded sites,Y,CSV with Coordinates,Request file from agency,Annually,2017-01-03,,,Contracted and funded,
1,bic_facilities_tradewaste,NYCBIC,NYC Business Integrity Commission,Approved licensees and registrants for trade waste,1,,N,CSV with Coordinates,Pull from NYC Open Data,Annually,8/27/16,https://data.cityofnewyork.us/Business/Approved-licensees/7atx-5a3s,https://data.cityofnewyork.us/api/views/7atx-5a3s/rows.csv?accessType=DOWNLOAD,Licensed,
1,dfta_facilities_contracts,NYCDFTA,NYC Department for the Aging,DFTA Contracts,5,Program locations. All IDs are unique,Y,CSV with Addresses,Pull from NYC Open Data,Weekly,5/5/17,https://data.cityofnewyork.us/Social-Services/DFTA-Contracts/6j6t-3ixh,https://data.cityofnewyork.us/api/views/6j6t-3ixh/rows.csv?accessType=DOWNLOAD,Contracted and funded,
1,dcp_facilities_pops,NYCDCP,NYC Department of City Planning,New York City Privately Owned Public Space Database,,,,CSV with Addresses,Manual download,Annually,2000-01-01,https://nycopendata.socrata.com/Housing-Development/Privately-Owned-Public-Spaces/fum3-ejky,,Certified,
